# k	cb	gl	xy
290	0.144345	1.0944	0.545787
291	0.132601	1.05147	0.523285
292	0.211745	2.15484	1.0087
293	0.14779	1.65337	0.777101
294	0.13703	1.23142	0.615863
295	0.199662	2.15755	1.03097
296	0.143345	0.886559	0.466394
297	0.155264	1.26778	0.63195
298	0.160153	1.15027	0.608586
299	0.13475	1.10393	0.5607
300	0.133992	1.0527	0.525765
301	0.13624	1.15201	0.612381
302	0.141527	1.06585	0.54659
303	0.128388	1.06888	0.52255
304	0.134027	1.12106	0.55218
305	0.153027	1.02725	0.499693
306	0.124176	1.06731	0.528428
307	0.153288	1.5239	0.638579
308	0.127282	1.08777	0.551401
309	0.12726	1.0008	0.526226
310	0.243681	2.16882	0.9933
311	0.152348	1.59768	0.768443
312	0.137231	1.05372	0.596723
313	0.205813	2.20238	1.01159
314	0.147124	0.926668	0.518107
315	0.176838	1.63336	0.76388
316	0.151584	1.37334	0.615637
317	0.141194	1.33317	0.552789
318	0.131343	1.12011	0.562043
319	0.169528	1.37478	0.62139
320	0.140463	1.26916	0.566281
321	0.123845	1.08963	0.526241
322	0.175383	1.30239	0.623188
323	0.13911	1.194	0.623317
324	0.123213	1.04545	0.589243
325	0.139983	1.29384	0.609049
326	0.136436	1.04163	0.579002
327	0.128228	1.09721	0.507442
328	0.262792	2.11942	1.00702
329	0.137711	1.84856	0.912432
330	0.126138	0.936023	0.544188
331	0.2148	2.15074	1.01227
332	0.125541	0.990716	0.506944
333	0.212543	2.05186	0.905309
334	0.177008	1.62674	0.635477
335	0.138833	1.34491	0.672785
336	0.131674	1.05746	0.54491
337	0.125733	1.30244	0.552902
338	0.145793	1.04069	0.54119
339	0.134491	0.963098	0.552775
340	0.127051	1.23556	0.55587
341	0.133141	1.12762	0.625546
342	0.13123	0.96694	0.537638
343	0.148497	1.30458	0.524557
344	0.147625	1.13057	0.668376
345	0.132434	1.26714	0.635938
346	0.214542	2.16721	1.0151
347	0.140847	1.62689	0.813273
348	0.132549	0.946056	0.506819
