# k	cb	gl	xy
319	0.102682	0.0785141	0.0743467
320	0.0850773	0.0724819	0.0677532
321	0.075012	0.062229	0.0629625
322	0.106228	0.0743799	0.0745619
323	0.0842578	0.0681895	0.0745773
324	0.0746296	0.0597058	0.0705005
325	0.084787	0.0738914	0.0728701
326	0.0826384	0.059488	0.0692752
327	0.0776666	0.0626618	0.0607133
328	0.159171	0.12104	0.120486
329	0.0834105	0.105572	0.109169
330	0.0764012	0.0534565	0.0651099
331	0.130103	0.12283	0.121114
332	0.0760395	0.05658	0.0606538
333	0.128736	0.117182	0.108316
334	0.107213	0.0929032	0.0760321
335	0.08409	0.0768083	0.0804959
336	0.0797538	0.0603921	0.0651962
337	0.0761559	0.0743827	0.0661524
338	0.0883057	0.0594339	0.0647511
339	0.0814604	0.0550027	0.0661372
340	0.0769542	0.070563	0.0665076
341	0.0806429	0.0643984	0.074844
342	0.0794853	0.0552221	0.0643261
343	0.0899435	0.0745049	0.0627611
344	0.0894155	0.0645671	0.0799684
345	0.0802144	0.0723664	0.0760874
346	0.129946	0.12377	0.121452
347	0.0853104	0.0929121	0.0973048
348	0.0802842	0.0540295	0.0606388
349	0.128891	0.122952	0.111264
350	0.0947617	0.054735	0.0681709
351	0.157263	0.14264	0.130993
352	0.0957349	0.0647715	0.0700388
353	0.0833821	0.0632871	0.0734872
354	0.0767941	0.0661559	0.0695287
355	0.0934505	0.0599615	0.0749318
356	0.0746978	0.0620765	0.0692934
357	0.0850662	0.0597559	0.0677639
358	0.0815535	0.0633618	0.0667056
359	0.0827813	0.0748831	0.0746041
360	0.0821016	0.0613668	0.0680245
361	0.0885713	0.0644371	0.0693019
362	0.0787544	0.0622273	0.0669943
363	0.0837847	0.0749128	0.0714821
364	0.137638	0.12399	0.119707
365	0.0795741	0.0846381	0.0994675
366	0.0807852	0.0555454	0.0598249
367	0.132482	0.12274	0.117698
368	0.0887505	0.0866782	0.0901156
369	0.166204	0.151051	0.137108
370	0.106957	0.0850737	0.0708938
371	0.0875298	0.0647721	0.0751365
372	0.082291	0.0732388	0.0718219
373	0.0802054	0.069443	0.0639209
374	0.0816549	0.0701019	0.0626948
375	0.0862314	0.067168	0.0730218
376	0.0943826	0.0665923	0.0758065
377	0.0828703	0.0642677	0.069555
378	0.0797273	0.0607796	0.0653232
379	0.0889439	0.0669646	0.0712925
380	0.0820585	0.0617176	0.0645863
381	0.0924778	0.0582964	0.0594911
382	0.129622	0.118632	0.119002
383	0.0896868	0.092783	0.100334
384	0.0881062	0.0535539	0.0594464
385	0.131159	0.124306	0.119513
386	0.0899303	0.0872706	0.0957718
387	0.16856	0.153058	0.138774
388	0.102088	0.0653261	0.0684202
389	0.0862858	0.0659595	0.0672826
390	0.0933907	0.0635287	0.0647505
391	0.0926966	0.060103	0.0701773
392	0.0910479	0.0681487	0.0623137
393	0.0896021	0.0569137	0.0596756
394	0.102365	0.0723763	0.0692509
395	0.0811557	0.0661966	0.0736168
396	0.0795847	0.054405	0.0628684
397	0.0860459	0.0625249	0.0779288
398	0.098246	0.0572654	0.0635246
399	0.0842126	0.0632345	0.0647517
400	0.126188	0.123533	0.120743
401	0.0804262	0.0989309	0.104275
402	0.0787848	0.0548555	0.0615271
403	0.148167	0.121871	0.117557
404	0.0917026	0.09621	0.100514
405	0.169461	0.15384	0.13927
406	0.104293	0.0702771	0.0747921
407	0.0884056	0.0590067	0.0610447
408	0.0903026	0.0718353	0.0677282
409	0.0785049	0.0681127	0.0634017
410	0.0931521	0.0568559	0.0647108
411	0.0905629	0.0625088	0.0622079
412	0.0838883	0.0741671	0.0728215
