# k	cb	gl	xy
2.400000000000000000e+01	2.126634891268277816e-01	2.450212493191171959e+00	1.085786017507455181e+00
2.500000000000000000e+01	2.115381229393279994e-01	2.198382237010625850e+00	1.023345010897917184e+00
2.600000000000000000e+01	2.083292964733073627e-01	2.455134567357383446e+00	1.111274416283414723e+00
2.700000000000000000e+01	2.845527576292350980e-01	2.803193032293092468e+00	1.210628297825616206e+00
2.800000000000000000e+01	3.541547367880922281e-01	3.229134783582773061e+00	1.364749462412086833e+00
2.900000000000000000e+01	1.451633430623560372e-01	1.476264945671644790e+00	7.453183842121230418e-01
3.000000000000000000e+01	2.838026205799993873e-01	2.800022995049559427e+00	1.209548224386062909e+00
3.100000000000000000e+01	3.392957760285065238e-01	3.194332540292638800e+00	1.364950629520010894e+00
3.200000000000000000e+01	1.451680416996308509e-01	1.476308055984264067e+00	7.453364290454579377e-01
3.300000000000000000e+01	2.487982488340881593e-01	2.670481042840858521e+00	1.165743392864003525e+00
3.400000000000000000e+01	2.399917786114619811e-01	2.509705581602787561e+00	1.039314667642357470e+00
3.500000000000000000e+01	1.536270096428709320e-01	1.737235706603033725e+00	8.725364243509362572e-01
3.600000000000000000e+01	2.224239352613759657e-01	2.481982701349909615e+00	1.096647666035066582e+00
3.700000000000000000e+01	2.335311370143400289e-01	2.503056372347880032e+00	1.118253112838332841e+00
3.800000000000000000e+01	2.742008046867117632e-01	2.783290754935855649e+00	1.199187068023702452e+00
3.900000000000000000e+01	2.128417163390834976e-01	2.449995254267691269e+00	1.086120721839239467e+00
4.000000000000000000e+01	2.116234343953335706e-01	2.199660503765542785e+00	1.024321959366152779e+00
4.100000000000000000e+01	2.085225626876595628e-01	2.454070109282025847e+00	1.109517826511084104e+00
4.200000000000000000e+01	1.261149182003863667e-01	1.304192184895223372e+00	7.851795769883558318e-01
4.300000000000000000e+01	2.128417163390834976e-01	2.449995254267691269e+00	1.086120721839239467e+00
4.400000000000000000e+01	2.116234343953335706e-01	2.199660503765542785e+00	1.024321959366152779e+00
4.500000000000000000e+01	2.085225626876596183e-01	2.454070109282025403e+00	1.109517826511083882e+00
4.600000000000000000e+01	2.845092158808428251e-01	2.798999836643162986e+00	1.211582544892895630e+00
4.700000000000000000e+01	3.540377278233114433e-01	3.230766350108182472e+00	1.363859046632180716e+00
4.800000000000000000e+01	1.457983553825178136e-01	1.479787320970419762e+00	7.462261910098419992e-01
4.900000000000000000e+01	2.837597491004552608e-01	2.795922938762979815e+00	1.210207935386496070e+00
5.000000000000000000e+01	3.389910701792299141e-01	3.191309719285642998e+00	1.364064321285759940e+00
5.100000000000000000e+01	1.457985934423750574e-01	1.479864860452722253e+00	7.462560799027433411e-01
5.200000000000000000e+01	2.488293705877656636e-01	2.667299268328285233e+00	1.165087993654480236e+00
5.300000000000000000e+01	2.402457776114344523e-01	2.516726581996885148e+00	1.038153237396338469e+00
5.400000000000000000e+01	1.539020962939186554e-01	1.736226017746019146e+00	8.709656221626671524e-01
5.500000000000000000e+01	2.224378955795983104e-01	2.481694073337469941e+00	1.096116593165644248e+00
5.600000000000000000e+01	2.337565738348340860e-01	2.504245778735598282e+00	1.118838420236213160e+00
5.700000000000000000e+01	2.741756369816372163e-01	2.783857623140042481e+00	1.198217040200366235e+00
5.800000000000000000e+01	2.134557898449197799e-01	2.440701553117011535e+00	1.084905978150426664e+00
5.900000000000000000e+01	2.114397225415032833e-01	2.205826101231083136e+00	1.017159593554878061e+00
6.000000000000000000e+01	2.087986583233981397e-01	2.445156698923885763e+00	1.107840038071496780e+00
6.100000000000000000e+01	1.245139152604603366e-01	1.306287106294920619e+00	7.723376335067057008e-01
6.200000000000000000e+01	2.134557898449197799e-01	2.440701553117011535e+00	1.084905978150426664e+00
6.300000000000000000e+01	2.114397225415032833e-01	2.205826101231082692e+00	1.017159593554878061e+00
6.400000000000000000e+01	2.087986583233981397e-01	2.445156698923885319e+00	1.107840038071496780e+00
6.500000000000000000e+01	2.851942593035939333e-01	2.777105370046200061e+00	1.214721664462200090e+00
