Time	cb	gl	xy
2.520000000000000000e+02	1.256180700341208656e+00	1.447700218224720636e+01	7.265432068251403308e+00
2.550000000000000000e+02	1.296958453405966827e+00	1.406789699729616316e+01	7.106729562747030826e+00
2.580000000000000000e+02	1.242817673488253671e+00	1.482495989252338120e+01	7.263946112417120737e+00
2.610000000000000000e+02	1.265167315443047835e+00	1.409677115428624106e+01	6.819390435524019800e+00
2.640000000000000000e+02	1.266383871848425047e+00	1.484743641910580969e+01	7.520504476565019303e+00
2.670000000000000000e+02	1.222704919732583884e+00	1.429580635219112850e+01	7.215661426347274698e+00
2.700000000000000000e+02	1.342126647916319193e+00	1.393902168502186179e+01	6.816878900152762100e+00
2.730000000000000000e+02	1.271750101506230024e+00	1.392276371319596784e+01	6.973565213978045740e+00
2.760000000000000000e+02	1.275534832110955419e+00	1.438107469640748448e+01	7.035971724637193780e+00
2.790000000000000000e+02	1.316003454019562646e+00	1.404607236868988096e+01	7.015264396737427077e+00
2.820000000000000000e+02	1.272526728595496204e+00	1.485166369778664297e+01	7.383906298754506103e+00
2.850000000000000000e+02	1.347100259712742609e+00	1.513765326937853573e+01	7.312205921516868656e+00
2.880000000000000000e+02	1.297172896801656927e+00	1.385472826375041677e+01	6.953918333736441859e+00
2.910000000000000000e+02	1.295702527532729631e+00	1.516252018640335919e+01	7.629549718958873683e+00
2.940000000000000000e+02	1.283647101499501009e+00	1.398635880891950833e+01	6.997723751955888360e+00
2.970000000000000000e+02	1.284758231888694091e+00	1.389512319230930615e+01	7.060384118002621001e+00
3.000000000000000000e+02	1.337259406395708394e+00	1.442998178638419304e+01	7.288757025420613544e+00
3.030000000000000000e+02	1.265941293722510075e+00	1.548220446473873579e+01	7.657794994962900503e+00
3.060000000000000000e+02	1.280076213948774688e+00	1.480201154630071869e+01	7.292829568326668621e+00
3.090000000000000000e+02	1.221563633062198617e+00	1.484037690336736404e+01	7.265439883962179657e+00
3.120000000000000000e+02	1.229624971671849476e+00	1.518325876264453456e+01	7.530369604876486989e+00
3.150000000000000000e+02	1.332265184838404615e+00	1.606449713350169617e+01	7.949790798634683853e+00
3.180000000000000000e+02	1.297165770344927305e+00	1.441223534175083110e+01	7.116649872184270365e+00
