# Wavelength	Beta
4915	-0.135398
4916	-0.15728
4917	-0.184173
4918	-0.205048
4919	-0.214224
4920	-0.212178
4921	-0.203276
4922	-0.190998
4923	-0.176895
4924	-0.165742
4925	-0.16588
4926	-0.178662
4927	-0.192172
4928	-0.189678
4929	-0.164813
4930	-0.128439
4931	-0.0995887
4932	-0.0909558
4933	-0.10343
4934	-0.12706
4935	-0.144258
4936	-0.139778
4937	-0.111463
4938	-0.0708069
4939	-0.0362575
4940	-0.0227446
4941	-0.0342623
4942	-0.0667418
4943	-0.112147
4944	-0.159486
4945	-0.197728
4946	-0.220706
4947	-0.229593
4948	-0.231124
4949	-0.233449
4950	-0.240133
4951	-0.245364
4952	-0.237314
4953	-0.2097
4954	-0.167564
4955	-0.121663
4956	-0.0818516
4957	-0.0548049
4958	-0.0434315
4959	-0.0483799
4960	-0.0698643
4961	-0.104629
4962	-0.139652
4963	-0.155335
4964	-0.14233
4965	-0.112523
4966	-0.0852639
4967	-0.0668802
4968	-0.0515356
4969	-0.0347096
4970	-0.0218103
4971	-0.0237217
4972	-0.043305
4973	-0.0700199
4974	-0.0909438
4975	-0.103027
4976	-0.112745
4977	-0.126293
4978	-0.142433
4979	-0.152718
4980	-0.150148
4981	-0.137776
4982	-0.123679
4983	-0.11093
4984	-0.096578
4985	-0.0798472
4986	-0.0656567
4987	-0.0596088
4988	-0.0628407
4989	-0.0718025
4990	-0.0827392
4991	-0.095224
4992	-0.110647
4993	-0.125369
4994	-0.126623
4995	-0.107835
4996	-0.0830139
4997	-0.0705445
4998	-0.0796562
4999	-0.10887
5000	-0.145088
5001	-0.16761
5002	-0.170275
5003	-0.167586
5004	-0.168509
5005	-0.170364
5006	-0.169605
5007	-0.168824
5008	-0.171639
5009	-0.174385
5010	-0.168049
5011	-0.150773
5012	-0.132139
5013	-0.118121
5014	-0.105053
5015	-0.0884196
5016	-0.0739088
5017	-0.0740295
5018	-0.093271
5019	-0.124087
5020	-0.15405
5021	-0.175434
5022	-0.183141
5023	-0.176609
5024	-0.162261
5025	-0.146227
5026	-0.133997
5027	-0.131808
5028	-0.142801
5029	-0.164242
5030	-0.187072
5031	-0.198888
5032	-0.193107
5033	-0.183869
5034	-0.198403
5035	-0.247981
5036	-0.31798
5037	-0.377823
5038	-0.409459
5039	-0.418124
5040	-0.419687
5041	-0.428201
5042	-0.438483
5043	-0.416375
5044	-0.359148
5045	-0.302701
5046	-0.245434
5047	-0.162792
5048	-0.068367
5049	-0.0196591
5050	-0.0437455
5051	-0.131988
5052	-0.238222
5053	-0.312384
5054	-0.333986
5055	-0.30118
5056	-0.236712
5057	-0.17221
5058	-0.128145
5059	-0.112967
5060	-0.127858
5061	-0.163436
5062	-0.202093
5063	-0.226407
5064	-0.215684
5065	-0.171688
5066	-0.130009
5067	-0.119157
5068	-0.133039
5069	-0.149038
5070	-0.156327
5071	-0.12947
5072	0.0181557
5073	0.259422
5074	0.362529
5075	0.341893
5076	0.257097
5077	0.134597
5078	0.013952
5079	-0.0894097
5080	-0.193423
5081	-0.33993
5082	-0.539759
5083	-0.66472
5084	-0.626717
5085	-0.519666
5086	-0.411399
5087	-0.332823
5088	-0.29793
5089	-0.280537
5090	-0.245569
5091	-0.195542
5092	-0.149105
5093	-0.116584
5094	-0.104432
5095	-0.12955
5096	-0.198226
5097	-0.273099
5098	-0.311263
5099	-0.269338
5100	-0.136653
5101	0.0222365
5102	0.134802
5103	0.164531
5104	0.0770676
5105	-0.0862172
5106	-0.193527
5107	-0.215976
5108	-0.200297
5109	-0.190844
5110	-0.220008
5111	-0.305244
5112	-0.3759
5113	-0.343327
5114	-0.264522
5115	-0.170496
5116	-0.0452255
5117	0.113447
5118	0.260393
5119	0.32554
5120	0.316045
5121	0.300775
5122	0.311153
5123	0.335385
5124	0.361091
5125	0.402241
5126	0.466177
5127	0.512063
5128	0.50401
5129	0.453345
5130	0.327741
5131	0.117538
5132	-0.0444189
5133	-0.104133
5134	-0.12089
5135	-0.172824
5136	-0.292922
5137	-0.384026
5138	-0.418029
5139	-0.426283
5140	-0.409297
5141	-0.343823
5142	-0.247503
5143	-0.192174
5144	-0.217581
5145	-0.299692
5146	-0.363629
5147	-0.358806
5148	-0.239271
5149	-0.0460633
5150	0.0819545
5151	0.091617
5152	0.00082044
5153	-0.14119
5154	-0.231762
5155	-0.257203
5156	-0.271944
5157	-0.306013
5158	-0.366999
5159	-0.438674
5160	-0.436633
5161	-0.27315
5162	-0.0559208
5163	0.0768272
5164	0.129484
5165	0.146928
5166	0.164192
5167	0.189896
5168	0.206693
5169	0.210613
5170	0.223588
5171	0.232868
5172	0.183843
5173	0.0733958
5174	-0.0441479
5175	-0.135124
5176	-0.162833
5177	-0.105145
5178	-0.0127364
5179	0.0294371
5180	-0.0161472
5181	-0.131759
5182	-0.233941
5183	-0.249381
5184	-0.181342
5185	-0.0613811
5186	0.0447694
5187	0.0632198
5188	0.0137694
5189	-0.0448732
5190	-0.0936581
5191	-0.138468
5192	-0.168546
5193	-0.175581
5194	-0.175713
5195	-0.187241
5196	-0.211528
5197	-0.228669
5198	-0.22262
5199	-0.176964
5200	-0.0713048
5201	0.0868777
5202	0.243428
5203	0.347469
5204	0.401002
5205	0.433405
5206	0.462896
5207	0.494475
5208	0.52863
5209	0.560522
5210	0.579896
5211	0.560589
5212	0.435479
5213	0.160349
5214	-0.145832
5215	-0.383407
5216	-0.519679
5217	-0.525146
5218	-0.454906
5219	-0.380462
5220	-0.305136
5221	-0.17734
5222	-0.000941217
5223	0.146259
5224	0.230936
5225	0.238656
5226	0.170708
5227	0.0361578
5228	-0.131
5229	-0.236787
5230	-0.282993
5231	-0.314577
5232	-0.330818
5233	-0.317209
5234	-0.280175
5235	-0.223082
5236	-0.13177
5237	0.022336
5238	0.249559
5239	0.481152
5240	0.618565
5241	0.609425
5242	0.488671
5243	0.368046
5244	0.289732
5245	0.236546
5246	0.184346
5247	0.11428
5248	0.0174215
5249	-0.0831747
5250	-0.150257
5251	-0.179186
5252	-0.163496
5253	-0.0780115
5254	0.0298387
5255	0.0640134
5256	0.0231426
5257	-0.0418717
5258	-0.0834622
5259	-0.0812701
5260	-0.0461045
5261	0.0130527
5262	0.0819085
5263	0.140478
5264	0.184368
5265	0.210327
5266	0.214047
5267	0.20729
5268	0.202286
5269	0.197048
5270	0.186114
5271	0.17123
5272	0.155809
5273	0.142268
5274	0.13272
5275	0.127211
5276	0.12349
5277	0.118861
5278	0.11288
5279	0.106887
5280	0.100739
5281	0.0926623
5282	0.0823775
5283	0.0716623
5284	0.0620094
5285	0.0533956
5286	0.0451609
5287	0.0372457
5288	0.0303732
5289	0.0254383
5290	0.0227147
5291	0.0217282
5292	0.0217261
5293	0.0220086
5294	0.0221429
5295	0.0221192
5296	0.0221923
5297	0.0225145
5298	0.022966
5299	0.0232942
5300	0.0232906
5301	0.022897
5302	0.0222197
5303	0.0213905
5304	0.0204136
5305	0.0191861
5306	0.0176584
5307	0.0158895
5308	0.0139401
5309	0.0117884
5310	0.00934806
5311	0.006548
5312	0.00340808
5313	6.52652e-05
5314	-0.00322467
5315	-0.00607093
5316	-0.00805821
5317	-0.00906688
5318	-0.00941624
5319	-0.00954347
5320	-0.00968894
5321	-0.0100071
5322	-0.0107571
5323	-0.0120875
5324	-0.0137317
5325	-0.0152806
5326	-0.0168418
5327	-0.0189917
5328	-0.0218864
5329	-0.0249592
5330	-0.0275261
5331	-0.0291369
5332	-0.0294697
5333	-0.0285763
5334	-0.0271973
5335	-0.0262421
5336	-0.0259726
5337	-0.0257777
5338	-0.0251956
5339	-0.0247663
5340	-0.0246946
5341	-0.0240823
5342	-0.0225335
5343	-0.0213238
5344	-0.0221691
5345	-0.0251563
5346	-0.02815
5347	-0.0286469
5348	-0.0263344
5349	-0.0232277
5350	-0.0215108
5351	-0.021908
5352	-0.0231229
5353	-0.0230909
5354	-0.0219612
5355	-0.0217111
5356	-0.0220527
5357	-0.0197377
5358	-0.013048
5359	-0.00401152
5360	0.00597873
5361	0.0198859
5362	0.0414497
5363	0.0685131
5364	0.0946592
5365	0.116501
5366	0.135996
5367	0.157608
5368	0.184432
5369	0.217146
5370	0.255065
5371	0.292377
5372	0.312587
5373	0.301064
5374	0.267085
5375	0.231812
5376	0.209655
5377	0.209385
5378	0.23525
5379	0.2811
5380	0.315849
5381	0.287078
5382	0.212167
5383	0.159962
5384	0.150354
5385	0.189488
5386	0.293686
5387	0.480064
5388	0.677044
5389	0.608519
5390	0.353656
5391	0.188057
5392	0.112743
5393	0.0801318
5394	0.0661428
5395	0.062025
5396	0.0704631
5397	0.107962
5398	0.145457
5399	0.11953
5400	0.0886355
5401	0.0725062
5402	0.0674186
5403	0.0697652
5404	0.0777245
5405	0.090804
5406	0.10672
5407	0.107745
5408	0.0711579
5409	0.0355604
5410	0.0168241
5411	0.00804047
5412	0.00555831
5413	0.0077399
5414	0.0134735
5415	0.022382
5416	0.0348846
5417	0.0447511
5418	0.0434357
5419	0.0379713
5420	0.0324431
5421	0.0291225
5422	0.0331652
5423	0.0528851
5424	0.103089
5425	0.207389
5426	0.303752
5427	0.27367
5428	0.238124
5429	0.245144
5430	0.287035
5431	0.373393
5432	0.569354
5433	1.12103
5434	2.9272
5435	6.62819
5436	6.3235
5437	4.85762
5438	4.61125
5439	3.4335
5440	0.45018
5441	-0.108213
5442	-0.177852
5443	-0.175214
5444	-0.15696
5445	-0.145677
5446	-0.156379
5447	-0.188295
5448	-0.224513
5449	-0.231923
5450	-0.193397
5451	-0.147953
5452	-0.122106
5453	-0.108453
5454	-0.0963743
5455	-0.0786357
5456	-0.0371646
5457	0.102256
5458	0.711332
5459	1.9361
5460	1.45427
5461	1.01792
5462	0.933513
5463	1.26813
5464	2.48286
5465	4.15772
5466	3.22303
5467	1.83128
5468	1.07124
5469	0.690373
5470	0.365407
5471	0.0666568
5472	-0.0674856
5473	-0.124245
5474	-0.157658
5475	-0.178604
5476	-0.190617
5477	-0.173021
5478	0.0169248
5479	0.16826
5480	0.148046
5481	0.109667
5482	0.0805755
5483	0.0655497
5484	0.0637124
5485	0.0676258
5486	0.0556048
5487	-0.0347327
5488	-0.15627
5489	-0.165044
5490	-0.140364
5491	-0.113464
5492	-0.0870616
5493	-0.066735
5494	-0.0623406
5495	-0.0699
5496	-0.0476485
5497	0.0204494
5498	0.0737523
5499	0.086665
5500	0.0708108
5501	0.0481637
5502	0.055445
5503	0.131609
5504	0.312583
5505	0.615917
5506	1.13291
5507	2.02021
5508	3.22055
5509	4.45467
5510	5.32492
5511	5.34798
5512	4.69991
5513	4.07722
5514	3.64736
5515	3.24456
5516	2.70802
5517	1.97355
5518	1.18884
5519	0.607753
5520	0.331714
5521	0.390492
5522	0.865371
5523	1.77305
5524	2.79321
5525	3.36858
5526	3.43806
5527	3.36238
5528	3.32442
5529	3.24281
5530	2.94857
5531	2.29746
5532	1.15416
5533	-0.19261
5534	-1.2766
5535	-1.98049
5536	-2.34095
5537	-2.31605
5538	-1.77783
5539	-0.683386
5540	0.692617
5541	1.89939
5542	2.82666
5543	3.66018
5544	4.4734
5545	5.14209
5546	5.49438
5547	5.28443
5548	4.33503
5549	3.07458
5550	2.10307
5551	1.60963
5552	1.53077
5553	1.77255
5554	2.31949
5555	3.21114
5556	4.38287
5557	5.60463
5558	6.66261
5559	7.4722
5560	7.93271
5561	8.00644
5562	7.91827
5563	7.90637
5564	7.86102
5565	7.44933
5566	6.62794
5567	5.63502
5568	4.66833
5569	3.80324
5570	3.01172
5571	2.20489
5572	1.36299
5573	0.654543
5574	0.331273
5575	0.476222
5576	0.969991
5577	1.64919
5578	2.50149
5579	3.61
5580	4.78603
5581	5.52968
5582	5.58353
5583	5.20867
5584	4.89061
5585	4.93635
5586	5.31103
5587	5.77821
5588	6.12921
5589	6.3605
5590	6.64493
5591	7.09602
5592	7.55353
5593	7.7195
5594	7.50553
5595	7.036
5596	6.34224
5597	5.37026
5598	4.21287
5599	3.14331
5600	2.48295
5601	2.44887
5602	3.02023
5603	3.97519
5604	5.03373
5605	5.93944
5606	6.5289
5607	6.72864
5608	6.45369
5609	5.69786
5610	4.69776
5611	3.77434
5612	2.97314
5613	2.168
5614	1.48706
5615	1.21938
5616	1.44754
5617	2.04595
5618	2.86099
5619	3.80776
5620	4.80132
5621	5.66189
5622	6.25478
5623	6.58248
5624	6.62107
5625	6.28407
5626	5.6038
5627	4.7618
5628	3.922
5629	3.16466
5630	2.61359
5631	2.38138
5632	2.47843
5633	2.88511
5634	3.62469
5635	4.72984
5636	6.0589
5637	7.25854
5638	8.04915
5639	8.4325
5640	8.53696
5641	8.40883
5642	8.07795
5643	7.66548
5644	7.11254
5645	6.11147
5646	4.84267
5647	3.86626
5648	3.33533
5649	3.11257
5650	3.06641
5651	3.11991
5652	3.21548
5653	3.30291
5654	3.37359
5655	3.48017
5656	3.67044
5657	3.92303
5658	4.16221
5659	4.31035
5660	4.31844
5661	4.19027
5662	4.004
5663	3.86285
5664	3.80364
5665	3.79927
5666	3.82724
5667	3.8902
5668	3.97781
5669	4.08773
5670	4.2828
5671	4.64015
5672	5.12976
5673	5.61767
5674	6.01222
5675	6.32699
5676	6.54959
5677	6.58457
5678	6.40881
5679	6.17449
5680	6.03394
5681	5.93477
5682	5.69053
5683	5.22495
5684	4.66983
5685	4.17096
5686	3.78098
5687	3.54352
5688	3.51368
5689	3.67982
5690	3.95601
5691	4.27524
5692	4.62052
5693	5.00844
5694	5.44317
5695	5.87793
5696	6.18437
5697	6.20498
5698	5.8934
5699	5.37559
5700	4.73692
5701	3.92835
5702	2.97408
5703	2.07357
5704	1.47363
5705	1.30298
5706	1.53899
5707	2.06603
5708	2.7647
5709	3.51867
5710	4.22426
5711	4.80176
5712	5.21122
5713	5.4653
5714	5.58466
5715	5.52091
5716	5.15137
5717	4.4586
5718	3.65514
5719	3.02052
5720	2.6994
5721	2.69378
5722	2.91626
5723	3.23811
5724	3.55268
5725	3.89037
5726	4.46063
5727	5.41217
5728	6.52634
5729	7.42376
5730	8.03966
5731	8.60096
5732	9.27695
5733	10.0056
5734	10.5979
5735	10.8951
5736	10.7908
5737	10.1822
5738	9.04717
5739	7.53076
5740	5.8266
5741	4.08092
5742	2.47793
5743	1.24809
5744	0.504808
5745	0.203417
5746	0.228298
5747	0.441199
5748	0.659723
5749	0.707591
5750	0.57375
5751	0.433807
5752	0.453235
5753	0.649056
5754	0.957523
5755	1.3233
5756	1.69137
5757	1.93216
5758	1.91681
5759	1.67858
5760	1.42018
5761	1.31198
5762	1.38335
5763	1.53493
5764	1.60496
5765	1.4795
5766	1.19044
5767	0.865245
5768	0.576523
5769	0.312805
5770	0.0687587
5771	-0.0980474
5772	-0.149735
5773	-0.141124
5774	-0.169403
5775	-0.22828
5776	-0.21819
5777	-0.0802133
5778	0.153224
5779	0.404094
5780	0.595201
5781	0.682225
5782	0.684879
5783	0.670461
5784	0.680465
5785	0.682188
5786	0.608778
5787	0.431353
5788	0.190001
5789	-0.030305
5790	-0.142281
5791	-0.0999454
5792	0.0743307
5793	0.29033
5794	0.426211
5795	0.396319
5796	0.206629
5797	-0.0392738
5798	-0.214761
5799	-0.263379
5800	-0.227036
5801	-0.194116
5802	-0.233983
5803	-0.339182
5804	-0.43283
5805	-0.435958
5806	-0.328221
5807	-0.139607
5808	0.100652
5809	0.378376
5810	0.661972
5811	0.881734
5812	0.971211
5813	0.92251
5814	0.796716
5815	0.666865
5816	0.565972
5817	0.485479
