# Wavelength	Beta
5019	-0.115959
5020	-0.146784
5021	-0.169973
5022	-0.180503
5023	-0.176899
5024	-0.164038
5025	-0.14736
5026	-0.133062
5027	-0.128428
5028	-0.136931
5029	-0.155501
5030	-0.174717
5031	-0.182628
5032	-0.174465
5033	-0.165927
5034	-0.183297
5035	-0.236136
5036	-0.309245
5037	-0.372013
5038	-0.406465
5039	-0.418288
5040	-0.423991
5041	-0.438285
5042	-0.455942
5043	-0.439044
5044	-0.381216
5045	-0.321373
5046	-0.259738
5047	-0.170897
5048	-0.0696824
5049	-0.0170442
5050	-0.0406786
5051	-0.130032
5052	-0.235832
5053	-0.30586
5054	-0.320174
5055	-0.279583
5056	-0.209079
5057	-0.140622
5058	-0.0940213
5059	-0.077544
5060	-0.0932878
5061	-0.132684
5062	-0.177111
5063	-0.208126
5064	-0.206252
5065	-0.174692
5066	-0.148688
5067	-0.153108
5068	-0.176574
5069	-0.197367
5070	-0.209678
5071	-0.189355
5072	-0.0372671
5073	0.234028
5074	0.363715
5075	0.353838
5076	0.270237
5077	0.142521
5078	0.0132079
5079	-0.0995603
5080	-0.212508
5081	-0.368564
5082	-0.578006
5083	-0.705346
5084	-0.660877
5085	-0.544995
5086	-0.427812
5087	-0.339863
5088	-0.294527
5089	-0.26701
5090	-0.225467
5091	-0.173763
5092	-0.129647
5093	-0.101878
5094	-0.0971843
5095	-0.134324
5096	-0.216403
5097	-0.300797
5098	-0.344585
5099	-0.302355
5100	-0.161298
5101	0.00986349
5102	0.133069
5103	0.171137
5104	0.0912153
5105	-0.0658425
5106	-0.17081
5107	-0.196277
5108	-0.188087
5109	-0.188672
5110	-0.230526
5111	-0.330602
5112	-0.409172
5113	-0.373788
5114	-0.290663
5115	-0.192621
5116	-0.0605869
5117	0.108242
5118	0.266363
5119	0.341051
5120	0.338367
5121	0.32845
5122	0.343334
5123	0.369192
5124	0.392385
5125	0.429191
5126	0.489199
5127	0.531428
5128	0.519765
5129	0.466137
5130	0.337982
5131	0.12518
5132	-0.0386767
5133	-0.0991033
5134	-0.116333
5135	-0.171707
5136	-0.298685
5137	-0.392383
5138	-0.424145
5139	-0.429158
5140	-0.411465
5141	-0.351367
5142	-0.26611
5143	-0.223545
5144	-0.261196
5145	-0.349856
5146	-0.412017
5147	-0.403283
5148	-0.278629
5149	-0.0766307
5150	0.0613146
5151	0.0798254
5152	-0.000527435
5153	-0.127887
5154	-0.205829
5155	-0.225444
5156	-0.239012
5157	-0.274467
5158	-0.33821
5159	-0.414498
5160	-0.424883
5161	-0.281971
5162	-0.0793611
5163	0.0492391
5164	0.103067
5165	0.123516
5166	0.143558
5167	0.171526
5168	0.191192
5169	0.197988
5170	0.211297
5171	0.217005
5172	0.16288
5173	0.0510206
5174	-0.0648209
5175	-0.155254
5176	-0.185332
5177	-0.130828
5178	-0.0394376
5179	0.00333019
5180	-0.0423506
5181	-0.15834
5182	-0.259589
5183	-0.273916
5184	-0.207514
5185	-0.0926707
5186	0.00900049
5187	0.0278998
5188	-0.0168561
5189	-0.0685203
5190	-0.108721
5191	-0.144333
5192	-0.167889
5193	-0.171831
5194	-0.169144
5195	-0.175187
5196	-0.191064
5197	-0.198502
5198	-0.181652
5199	-0.127428
5200	-0.0259014
5201	0.114386
5202	0.253769
5203	0.347935
5204	0.396488
5205	0.426133
5206	0.454208
5207	0.485616
